title,title_english,ruby,music_id,can_play_offline,genre,diff_type,difficulty
ヒトガタ,Hitogata,ひとがた,3030,false,anime_pop,normal,3.0
ヒトガタ,Hitogata,ひとがた,3030,false,anime_pop,hard,9.7
ヒトガタ,Hitogata,ひとがた,3030,false,anime_pop,expert,12.6
メニメニマニマニ,Many Many Money Money,めにめにまにまに,2240,false,anime_pop,normal,3.0
メニメニマニマニ,Many Many Money Money,めにめにまにまに,2240,false,anime_pop,hard,7.8
メニメニマニマニ,Many Many Money Money,めにめにまにまに,2240,false,anime_pop,expert,12.3
叩ケ 叩ケ 手ェ叩ケ,Tatake Tatake Te-tatake,たたけたたけてえたたけ,2204,false,anime_pop,normal,2.0
叩ケ 叩ケ 手ェ叩ケ,Tatake Tatake Te-tatake,たたけたたけてえたたけ,2204,false,anime_pop,hard,7.3
叩ケ 叩ケ 手ェ叩ケ,Tatake Tatake Te-tatake,たたけたたけてえたたけ,2204,false,anime_pop,expert,12.3
叩ケ 叩ケ 手ェ叩ケ,Tatake Tatake Te-tatake,たたけたたけてえたたけ,2204,false,anime_pop,inferno,13.8
Fly to NEW WORLD,,ＦＬＹＴＯＮＥＷＷＯＲＬＤ,2228,false,anime_pop,normal,3.0
Fly to NEW WORLD,,ＦＬＹＴＯＮＥＷＷＯＲＬＤ,2228,false,anime_pop,hard,8.3
Fly to NEW WORLD,,ＦＬＹＴＯＮＥＷＷＯＲＬＤ,2228,false,anime_pop,expert,12.2
透明声彩,Toumei Seisai,とうめいせいさい,2227,false,anime_pop,normal,3.0
透明声彩,Toumei Seisai,とうめいせいさい,2227,false,anime_pop,hard,7.6
透明声彩,Toumei Seisai,とうめいせいさい,2227,false,anime_pop,expert,11.8
うっせぇわ,Ussee-wa,うっせぇわ,3023,false,anime_pop,normal,3.0
うっせぇわ,Ussee-wa,うっせぇわ,3023,false,anime_pop,hard,9.6
うっせぇわ,Ussee-wa,うっせぇわ,3023,false,anime_pop,expert,12.2
うっせぇわ,Ussee-wa,うっせぇわ,3023,false,anime_pop,inferno,13.2
Fam☆Fam☆Time!,,ＦＡＭＦＡＭＴＩＭＥ,3003,false,anime_pop,normal,3.0
Fam☆Fam☆Time!,,ＦＡＭＦＡＭＴＩＭＥ,3003,false,anime_pop,hard,8.2
Fam☆Fam☆Time!,,ＦＡＭＦＡＭＴＩＭＥ,3003,false,anime_pop,expert,11.9
cœur,coeur,ＣＯＥＵＲ,2253,true,anime_pop,normal,3.0
cœur,coeur,ＣＯＥＵＲ,2253,true,anime_pop,hard,8.7
cœur,coeur,ＣＯＥＵＲ,2253,true,anime_pop,expert,12.7
私はNo 1！,Watashi wa No 1!,わたしはＮＯ１,2254,true,anime_pop,normal,3.0
私はNo 1！,Watashi wa No 1!,わたしはＮＯ１,2254,true,anime_pop,hard,8.4
私はNo 1！,Watashi wa No 1!,わたしはＮＯ１,2254,true,anime_pop,expert,12.3
ソロモン・ナイト,Solomon Night,そろもんないと,2252,true,anime_pop,normal,3.0
ソロモン・ナイト,Solomon Night,そろもんないと,2252,true,anime_pop,hard,7.8
ソロモン・ナイト,Solomon Night,そろもんないと,2252,true,anime_pop,expert,13.4
LOVE!HUG!GROOVY!!,,ＬＯＶＥＨＵＧＧＲＯＯＶＹ,2243,false,anime_pop,normal,4.0
LOVE!HUG!GROOVY!!,,ＬＯＶＥＨＵＧＧＲＯＯＶＹ,2243,false,anime_pop,hard,8.7
LOVE!HUG!GROOVY!!,,ＬＯＶＥＨＵＧＧＲＯＯＶＹ,2243,false,anime_pop,expert,12.4
LOVE!HUG!GROOVY!!,,ＬＯＶＥＨＵＧＧＲＯＯＶＹ,2243,false,anime_pop,inferno,13.5
Dig Delight!,,ＤＩＧＤＥＬＩＧＨＴ,2244,false,anime_pop,normal,3.0
Dig Delight!,,ＤＩＧＤＥＬＩＧＨＴ,2244,false,anime_pop,hard,8.3
Dig Delight!,,ＤＩＧＤＥＬＩＧＨＴ,2244,false,anime_pop,expert,11.4
電乱★カウントダウン,Denran Countdown,でんらんかうんとだうん,2245,false,anime_pop,normal,4.0
電乱★カウントダウン,Denran Countdown,でんらんかうんとだうん,2245,false,anime_pop,hard,7.8
電乱★カウントダウン,Denran Countdown,でんらんかうんとだうん,2245,false,anime_pop,expert,12.5
Photon Melodies,,ＰＨＯＴＯＮＭＥＬＯＤＩＥＳ,2246,false,anime_pop,normal,3.0
Photon Melodies,,ＰＨＯＴＯＮＭＥＬＯＤＩＥＳ,2246,false,anime_pop,hard,7.7
Photon Melodies,,ＰＨＯＴＯＮＭＥＬＯＤＩＥＳ,2246,false,anime_pop,expert,11.5
ぐるぐるDJ TURN!!,Guru-guru DJ TURN!!,ぐるぐるＤＪＴＵＲＮ,2251,false,anime_pop,normal,4.0
ぐるぐるDJ TURN!!,Guru-guru DJ TURN!!,ぐるぐるＤＪＴＵＲＮ,2251,false,anime_pop,hard,10.1
ぐるぐるDJ TURN!!,Guru-guru DJ TURN!!,ぐるぐるＤＪＴＵＲＮ,2251,false,anime_pop,expert,12.8
sister's noise,,ＳＩＳＴＥＲＳＮＯＩＳＥ,2058,false,anime_pop,normal,2.0
sister's noise,,ＳＩＳＴＥＲＳＮＯＩＳＥ,2058,false,anime_pop,hard,6.0
sister's noise,,ＳＩＳＴＥＲＳＮＯＩＳＥ,2058,false,anime_pop,expert,10.1
なだめスかし Negotiation,Nadame Sukashi Negotiation,なだめすかしＮＥＧＯＴＩＡＴＩＯＮ,2202,false,anime_pop,normal,3.0
なだめスかし Negotiation,Nadame Sukashi Negotiation,なだめすかしＮＥＧＯＴＩＡＴＩＯＮ,2202,false,anime_pop,hard,7.7
なだめスかし Negotiation,Nadame Sukashi Negotiation,なだめすかしＮＥＧＯＴＩＡＴＩＯＮ,2202,false,anime_pop,expert,11.9
サクリファイス,Sacrifice,さくりふぁいす,1219,false,anime_pop,normal,3.0
サクリファイス,Sacrifice,さくりふぁいす,1219,false,anime_pop,hard,9.1
サクリファイス,Sacrifice,さくりふぁいす,1219,false,anime_pop,expert,12.2
非実在系女子たちはどうすりゃいいですか？,Hi Jitsuzaikei Joshi Tachi wa Dousurya Iidesuka?,ひじつざいけいじょしたちはどうすりゃいいですか,2203,false,anime_pop,normal,3.0
